Date,Platform,Status,Content Pillar,Idea/Topic,Hook,Visual Directive,Copy/Caption,Hashtags,CTA
2026-02-01,Instagram,Planned,Value (Educational),Stop manually sending emails - do this instead,Stop doing Stop manually sending emails - do this instead manually.,"B-roll of working in a cafe, text overlay.","🔥 Stop doing Stop manually sending emails - do this instead manually.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-01,Instagram,Planned (Trial Variant),Value (Educational),Stop manually sending emails - do this instead,"[VARIANT B] If you're still doing Stop manually sending emails - do this instead, you're losing money.","B-roll of working in a cafe, text overlay.","🔥 Stop doing Stop manually sending emails - do this instead manually.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-01,Facebook,Planned,Value (Educational),Stop manually sending emails - do this instead,The secret to Stop manually sending emails - do this instead revealed.,Screen recording of n8n workflow executing.,"🔥 The secret to Stop manually sending emails - do this instead revealed.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-01,LinkedIn,Planned,Value (Educational),Stop manually sending emails - do this instead,The secret to Stop manually sending emails - do this instead revealed.,"Talking head, intense eye contact, fast cuts.","🔥 The secret to Stop manually sending emails - do this instead revealed.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-01,TikTok,Planned,Value (Educational),Stop manually sending emails - do this instead,I automate Stop manually sending emails - do this instead in 5 minutes. Here's how.,"B-roll of working in a cafe, text overlay.","🔥 I automate Stop manually sending emails - do this instead in 5 minutes. Here's how.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-01,YouTube Shorts,Planned,Value (Educational),Stop manually sending emails - do this instead,"If you're still doing Stop manually sending emails - do this instead, you're losing money.",Green screen over a news article about AI.,"🔥 If you're still doing Stop manually sending emails - do this instead, you're losing money.

Here is the breakdown of Stop manually sending emails - do this instead.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Follow for more automation tips.
2026-02-02,Instagram,Planned,Promo (Sales),Flash sale on our Automation Blueprint,Why 99% of businesses fail at Flash sale on our Automation Blueprint.,Green screen over a news article about AI.,"🔥 Why 99% of businesses fail at Flash sale on our Automation Blueprint.

Here is the breakdown of Flash sale on our Automation Blueprint.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Comment 'AUTO' for the link!
2026-02-02,Facebook,Planned,Promo (Sales),Flash sale on our Automation Blueprint,I automate Flash sale on our Automation Blueprint in 5 minutes. Here's how.,Screen recording of n8n workflow executing.,"🔥 I automate Flash sale on our Automation Blueprint in 5 minutes. Here's how.

Here is the breakdown of Flash sale on our Automation Blueprint.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Comment 'AUTO' for the link!
2026-02-02,LinkedIn,Planned,Promo (Sales),Flash sale on our Automation Blueprint,"If you're still doing Flash sale on our Automation Blueprint, you're losing money.","B-roll of working in a cafe, text overlay.","🔥 If you're still doing Flash sale on our Automation Blueprint, you're losing money.

Here is the breakdown of Flash sale on our Automation Blueprint.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Comment 'AUTO' for the link!
2026-02-02,TikTok,Planned,Promo (Sales),Flash sale on our Automation Blueprint,Stop doing Flash sale on our Automation Blueprint manually.,"Talking head, intense eye contact, fast cuts.","🔥 Stop doing Flash sale on our Automation Blueprint manually.

Here is the breakdown of Flash sale on our Automation Blueprint.

1. Step One... (Expand here)
2. Step Two... (Expand here)
3. Step Three... (Expand here)

Save this for later! #automation #ai #business #AutoFlowDigital",#AI #Automation #AutoFlowDigital,Comment 'AUTO' for the link!
